71,Programmation CNC - Siemens 840D tournage
71,Algemeen onderhoudsmecanicien
31,Criminology
81,Opleiding werknemers in de pluimveeslachthuizen
71,Installateur airco en warmtepompen
71,Lassen VDAB
71,Soudure acier inox TIG MIG
90,Onderhandelde zorg
104,Chauffeurs : trailers plaatssen (40u)
31,Postgraduaat Coaching, supervisie en teambegeleiding
41,Compensation and Benefits Management
72,Ingenieurswetenschappen: materiaalkunde
11,De metapositie van de supervisor
41,Vastgoedbeheerder
104,Vrachtwagenchauffeur CE
41,Beroepsopleiding Medewerker magazijn
71,Siemens S7-1500 PLC en TIA portal gevorderden
21,Harvard graphics
41,Schakelprogramma master in het management en het beleid van gezondheidszorg Master in het management en het beleid van de gezondheidszorg
91,Schakelprogramma master in de verpleegkunde en de vroedkunde en master in de vroedkunde
41,Logistiek Logistique Voice picking - Initiation à la commande vocale
41,Competentiemanagement Management des compétences Competenties beschrijven en meten
50,Uitsnijden voor laboratoriumtechnologen  
61,Movex key user role.
91,Basisopleiding professionele bachelor in de vroedkunde
81,Vorming EDUplus 2012-2013
91,Verkort traject voor werkende HBO-5 verpleegkundigen
71,PLC voor onderhoudstechnicus-modulair
104,Chauffeur/begeleider transport
51,Toegepaste biologische wetenschappen: cel- en genbiotechnologie
81,Rozen 1 volledige dag
42,Basisopleiding Bemiddeling en Mediation
71,THEMAVORMING Robots, globalisering en flexibiliteit – 4 groepen
103,Bekwaamheidsattest bewakingsagent - begeleiding van uitzonderlijke voertuigen
61,WINDOWS system DISCOVERY
91,Bachelor in de verpleegkunde  - afstandsonderwijs
41,Uitoefening van een mandaat in een overlegorgaan: de ondernemingsraad (2de jaar)
92,Ambulant werken in en met opvoedingssituaties
71,Hulpmecanicien Personenwagens & Lichte Bedrijfswagens
41,SERV1 - Service Management Learning program
41,Basisvaardigheden voor bedienden in de productie-omgeving
104,Permanente vorming voor vrachtwagenbestuurders in het kader van de verplichte nascholing vakbekwaamheid
61,Microsoft Project
91,Referentieverpleegkundige diabetologie
71,langzaagmachine instellen/bedienen
71,Siemens S7 gevorderden
91,Logopedie en audiologie
91,Bijscholingsmodule voor verzorgenden, Antwerpen
91,Bobath
71,Energiedeskundige type A VERKORT
92,Plus 50 aan het werk
71,FANUC VERVOLMAKING
41,Teamleadertraject : groep 02 : Evy Van Tongerloo
91,Permanente vorming stralingsprotectie
102,Opleiding preventieadviseur basisniveau
42,Laws (LLM)
72,Mudulair vormingspakket textieltechnologie
81,Paardenfokker
71,Norme DIN EN 1090 (Procédés de soudure dans le cadre de la EN 1090)
91,Uro-onco gespecialiseerde verpleegkunde
53,Chemie (GO)
101,Wordt leermeester
71,praktijk motorzaag volgens ECS1-kettingzaagonderhoud en doorkorttechnieken
41,Uitoefening van een mandaat in een overlegorgaan: de syndicale delegatie (2de jaar)
71,Robots FANUC M1 : initiation
3,Vivre nos émotions pour prévenir et gérer le stress
70,RESERVE DIMENSIONEERDER
92,Formation Senior 2 - assertivité et approfondissement des connaissances du sujet âgé vivant à domicile
71,Domotica
71,Pont Poiré
49,Gezondheidscoach
51,Biologische bestrijding in de glasgroenteteelt 0,5d
41,HRM verantwoordelijke
104,Manutention manuelle marchandise
23,Franse communicatie
73,Metselen basisvaardigheden 5d
21,Grafisch vormgever
72,Voedingsspecifiek Specifique alimentaire Boulangerie-pâtisserie: Le Sucre
54,Wetenschappen: statistiek
11,Opleiding LES.
72,Voedingsspecifiek Specifique alimentaire Vlees: Leverbereidingen
23,Historische taal- en letterkunde
71,Materialise montage kabels - Metes NV
80,vervolmaking in de Groene Sector
71,Techniek en onderhoud Technique et maintenance Communicatiesystemen binnen Siemens step 5 en step 7
81,Vermeerderingstechnieken in de boomkwekerij 1d
41,Marketing
41,Voortgezette vorming voor de Franstaligen-Jobs !!
61,Blender - Initiation
92,Postgraduaat: verantwoordelijke in de kinderopvang
71,Siemens : passage S7 V5.x à TIA Portal
41,Kwaliteitsnormen 1 volledige dag
71,INTERNE OPLEIDING MET BETREKKING TOT LASFABRIEK
72,Monteur meubelen-interier
31,Economische en toegepaste economische wetenschappen
91,Industriële farmacie
71,Voice picking voor Kits pickers (40u)
61,Software training
71,Siemens S7-300 PLC gevorderden
71,Basistraining + vervolgtraning solidworks (3D CAD)
71,Technische expert opleiding van producten en processen van specials
31,Actualités sociales/FB
92,Geriatrische voedingszorg en - beleid
31,Jaaropleiding De wolf en de zeven geitjes systeemtherapeutisch werken met het hechtingsperpectief
91,Referentieverpleegkundige diabeteszorg/diabeteseducator 
102,Formation du personnel d'exécution des entreprises de gardiennage et des services internes de gardiennage, chargé de l'exercice d'activités de controle de personnes, type long
71,Industrial engineering
23,Engels
71,Contrôle par ultrasons - niveau 1
91,Bachelor na bachelor in de creatieve therapie (schijf 2) 
41,Trendwatcher
61,Informatica Informatique Internet
23,Allemand faux-débutant
53,Basiscursus fysica, warmteleer, elektromechanica
70,OPLEIDING WERKVOORBEREIDER MONTAGE
91,Formation d'assistant dentaire
71,Win CC flexible
104,Werken met minigraafmachines - gevorderden 2d
72,Voedingsspecifiek Specifique alimentaire Découpeur-désosseur Porcin
11,Formation professionnelle
104,Heftruck - Hoogwerker
3,Situational Leadership
70,OTJ PULTMAN
84,paardenziekten en medicijnen 1d
61,CL 0315 - Networking with Windows Server 2016
71,Onderhoud van tractoren 1d
71,Solidworks
100,Beroepsopleiding dienstverleners 2016-2017
73,Aanleggen van natuursteen en grote tuintegels 1 volledige dag
41,Business Administration
71,FLEX RAY
41,Het automatisch beheer vna bestellingen
91,Bachelor na bachelor (BANABA)Oncologie + navorming oncologie
71,Onderhoud van tractoren 1 volledige dag
91,Deskundigheidsmodule dementie, Oostende
104,Nascholing vakbekwaamheid voor vrachtwagenbestuurders
72,Offsetdrukker
72,Voedingsspecifiek Specifique alimentaire Labo Bierbrouwen en controle Basisbieren
61,Blender - Approfondissement
22,Schakelprogramma: wereldgodsdiensten, interreligieuze dialoog en religiestudie: optie islamitische theologie en godsdienstwetenschappen
102,Sergeant - PREV 1 (brandpreventie in gebouwen)
92,formation pour le secteur de l'acceil et de l'hébergement pour personnes agées
72,Voedingsspecifiek Specifique alimentaire Basisopleiding medewerker vleessector
22,Kerkelijk recht (Iuris Canonici Licentiatus)
71,Onderhoud van verreiker 1 volledige dag
70,OTJ PUNCH (Z-4767)
92,Bachelor in de pediatrische gezondheidszorg
71,Norme EN1090
71,BA5 et manoeuvre haute tension
91,Bachelor verpleegkunde - Brugopleiding A2-A1 geriatrische / ziekenhuis / psychiatrische verpleegkunde 90 studiepunten
91,Flanders international college of osteopathy vzw
71,Conventionele verpakkingstechnieken (draaien, frezen, boren)
21,Bouwer van akoestische nylongitaren
41,Comptes annuels et entreprise - Prévention et Bien-être - Expression et communication - Revenus et fiscalité
91,Formation Infirmiers d'Accueil et d'Orientation - Accueil, évaluation et orientations des patients
72,Controleur/losser R en BB T/P/VCE (120u)
101,Masseur
71,VCE ompak (80u)
71,TECHNIQUE - Statique, dynamique, cinématique
71,VMWare Fast Track
11,Edicateur en diabétologie
104,Airport Management
71,Programmation d'une poinçonneuse CNC
98,Année de spécialisation interdisciplinaire en gériatrie et psycho-gériatrie
41,QUALITE - Démarche environnementale
41,Logistiek Logistique Chauffeurs de distribution de produits alimentaires
31,17- '18 Socio economische actualiteit in de bouwsector – 2 groepen
102,Conseiller à la sécurité
31,Postgraduaat ‘Psychotherapie jeugd en context’ – 2de cyclus – 3de jaar
91,Posthogeschoolvorming palliatieve zorgen : verdiepingsmodule
3,Probleemoplossend denken
81,Tuinontwerper
72,Voedingsspecifiek Specifique alimentaire Vlees: Varia: Verpakking
41,Taks en accountancy management
3,7c leadership training
71,Elektromechanica
81,Teeltmedewerker in de sierteelt : keuze uit azaleateelt, jongplantbedrijven, perkplanten en buitenteelten 1 volledige dag
91,prof. Bachelof in de verpleegkunde via Route 33 voorbereidende module                     Prof. Bachelor in de verpleegkunde via Route 33 opleidingsfase 1                                           Prof. Bachelor in de verpleegkunde via Route 33 opleidings
91,Neurovasculaire zorg
104,Trucks binning (120u)
71,SolidWorks module 1
92,Ouderschapsreorganisatie
104,Aptitude Professionnel et formation continue des conducteurs de véhicules des catégories C, C + E, D + E et des sous-catégories C1, C1 + E, D1, D1 + E
72,Voedingsspecifiek Specifique alimentaire Sauces et émulsions: Fabrication, formulation et stabilisation 
92,Bachelor-na-bachelor in de oncologie
104,5-daagse Heftruck - Training Solutions
71,Simatic
91,4-daagse permanente vorming nutritie
73,Bouw, aanleg en onderhoud
92,Welzijn van werknemers met of zonder werk -1
21,DJ en producer
61,Sketchup - Approfondissement
71,Electricité véhicules industriels 2
41,Logistiek management
70,Outilleur-Ajusteur - Tournage conventionnel
41,GESTION ET COMMUNICATION - Management
23,Culturele studies
22,Kerkelijk recht
31,Vergelijkende en internationale politiek
102,Arbeidswelzijn Bien-être au travail Beleidsmodule over het gebruik en problematisch gebruik van alcohol en drugs op het werk
91,Centrale Basiscursus palliatieve zorg voorjaar 2015 Diksmuide
41,Algemene gecentraliseerde vorming 'Ondernemingsraad 1'
72,Voedingsspecifiek Specifique alimentaire Mesure de PH et Oxygène Dissous
104,Opleiding brevet IV (motorfiets)
